"species"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"	"group"	"reg"	"reg2"	"reg3"	"thor"
"Drosophila_adiastola"	2.41	2.63888024250769	3.82690075201131	-3.78539035449478	NA	NA	-6.42427059697151	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.879626747502564
"Drosophila_adunca"	2.8525	3.14775963287377	2.37490575457367	-1.62740656952469	-0.184323559464627	-1.42480421583558	-4.76073811082028	0.376150720439391	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"	1.04819580275409
"Drosophila_anomalipes"	2.11666666666667	2.51505069066849	3.53611669956152	-3.58177663183418	-1.30011666487884	-2.89815194521513	NA	1.3609765531356	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.749842524236492
"Drosophila_atroscutellata"	1.3	0.787092793402473	2.89037175789616	-3.67092037609132	-0.875748776561219	-2.11403298644945	-4.45801316948358	-0.0202027073175195	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"	0.262364264467491
"Drosophila_clavisetae"	2.71	2.99084590467483	3.64204986675714	-2.99974029495153	NA	NA	-5.99058619976797	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.99694863489161
"Drosophila_comatifemora"	1.77	1.71293863975721	3.76120011569356	-4.30491745636246	-1.13165214274631	-2.30258509299405	-6.01785609606379	-0.798507696217772	NA	NA	NA	"mouth"	"Bark"	"Bark"	"Bark"	0.570979546585738
"Drosophila_cracens"	1.26	0.69333516289016	2.56494935746154	-3.06180444287563	-0.891598119283784	-1.80180980508156	-3.75513960574049	-0.562118918153541	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"	0.231111720963387
"Drosophila_crucigera"	2.18	2.34307480831568	3.65065824129374	-4.17079373438551	-0.917791858000422	-2.46275384514687	-6.47326765739336	0.418710334858185	NA	NA	NA	"pna"	"Generalist"	"gen"	"gen"	0.779324876800998
"Drosophila_diamphidiopoda"	2.32	2.52559295510289	2.92959247104945	-2.86295116232017	-0.583754803788749	-1.78260153144329	-5.39418650186889	0.113328685307003	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"	0.841567185678219
"Drosophila_dissita"	1.38	0.96625049750734	2.56494935746154	-3.59981852828517	-0.892643962084321	-2.07034022777324	-4.56606902613487	-0.27443684570176	NA	NA	NA	"mouth"	"Bark"	"Bark"	"Bark"	0.322083499169113
"Drosophila_engyochraecae"	2.48	2.72477568053067	4.08983440674421	-3.72554343848553	NA	NA	-6.45031911871612	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.908258560176891
"Drosophila_flavibasis"	1.09	0.258533088723157	2.19722457733622	-4.18661775833343	-1.20397280432594	-2.20727491318972	-4.44515084676483	NA	NA	NA	NA	"mouth"	"Leaf"	"gen"	"gen"	0.0861776962410524
"Drosophila_fungiperda"	1.62	1.44727844773288	2.99573227355399	-4.3644314199604	-1.09661428600544	-2.35020094693571	-5.81170986759319	-1.6094379124341	NA	NA	NA	"hale"	"Fungus"	"gen"	"gen"	0.482426149244293
"Drosophila_glabriapex"	2.12	2.25424826605176	3.97029191355212	-4.20729339446641	-0.978166135592243	-2.33098456751574	-6.46154166065362	-0.371063681390832	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.751416088683921
"Drosophila_grimshawi"	2.28846153846154	2.49604115483302	3.86597906692674	-4.11648251998549	-0.980329377970075	-2.34800749693939	-6.48123889549769	0.526206725804293	3.00568260440716	2.25915553506671	5.26510953970687	"pna"	"Generalist"	"gen"	"gen"	0.827879774530103
"Drosophila_hawaiiensis"	2.136	2.28503787714422	3.61861025826738	-3.74364595195887	-0.784298022415658	-2.1977747286417	-6.00945578748127	0.582215619852664	2.87167962488401	2.287471455184	5.12376554701844	"pna"	"Sap"	"gen"	"gen"	0.758934921097948
"Drosophila_hemipeza"	2.3675	2.58824303702938	3.74629036132728	-3.79046930987557	-0.826724288515112	-2.20122506864163	-6.37596972873144	NA	2.19722457733622	2.11625551480255	4.0842942263686	"pna"	"Bark"	"Bark"	"Bark"	0.861834546078096
"Drosophila_heteroneura"	2.616	2.8885883686024	3.61316763237824	-3.71631916987272	-0.804823897784567	-2.1730198886394	-6.64918823715559	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.961646433594952
"Drosophila_incognita"	1.765	1.7046687254526	1.87180217690159	-2.16718045598784	-0.663588378318401	-0.478035800943	-3.86465315013429	NA	NA	NA	NA	"amc"	NA	NA	NA	0.56815069038526
"Drosophila_kambysellisi"	1.51	1.2363289524805	2.70805020110221	-3.82126864215968	NA	NA	-5.05759759458182	NA	NA	NA	NA	"mouth"	"Leaf"	"gen"	"gen"	0.412109650826833
"Drosophila_kualapa"	1.3	0.787092793402473	3.13549421592915	-4.31082136179274	-0.881889305156823	-2.43041846450393	-5.09791415512928	0.609765571620894	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	0.262364264467491
"Drosophila_melanocephala"	3.145	3.43987065333002	4.47869952193414	-4.01913145143767	-0.835363799857595	-2.38945102601571	-7.4776501327851	0.225806668733691	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"	1.1458138901524
